stockCode,date,open,high,low,close,volume
139480,2020-02-03,107000,110000,106000,108000,222049
139480,2020-02-04,107000,112500,107000,110000,163709
139480,2020-02-05,111000,111000,108500,109500,130316
139480,2020-02-06,110500,114500,110500,114000,156863
139480,2020-02-07,113500,114000,112000,113000,146116
139480,2020-02-10,111500,115500,111500,114500,122123
139480,2020-02-11,114500,115500,112000,113000,165343
139480,2020-02-12,112000,114500,111500,114500,185571
139480,2020-02-13,114500,114500,112500,112500,212673
139480,2020-02-14,112500,113000,109500,109500,239841
139480,2020-02-17,109000,111000,108000,110500,125212
139480,2020-02-18,110000,111000,108500,109500,123933
139480,2020-02-19,110000,110500,106000,107500,213964
139480,2020-02-20,107500,108000,104000,104500,235992
139480,2020-02-21,103500,106000,102000,102000,156174
139480,2020-02-24,99500,101500,99100,99300,341493
139480,2020-02-25,98700,104500,98700,103500,287811
139480,2020-02-26,102500,110000,102500,106500,493074
139480,2020-02-27,107500,110000,106500,107500,211098
139480,2020-02-28,106000,109000,104000,105000,317981
139480,2020-03-02,107000,109000,104500,107000,289510
139480,2020-03-03,109000,114000,109000,111500,358858
139480,2020-03-04,113000,116000,111500,113000,281719
139480,2020-03-05,115500,118000,114000,117000,339849
139480,2020-03-06,116500,117000,114000,116000,155248
139480,2020-03-09,114500,116000,111500,112500,194777
139480,2020-03-10,111500,116000,111500,112000,241010
139480,2020-03-11,112500,117500,112500,114000,219573
139480,2020-03-12,114500,116500,107500,111000,389511
139480,2020-03-13,101500,108000,100000,104500,407709
139480,2020-03-16,108000,112500,104500,107000,238552
139480,2020-03-17,104500,111500,104000,108500,354292
139480,2020-03-18,109500,110500,103000,103000,233030
139480,2020-03-19,107500,108000,97300,101500,371821
139480,2020-03-20,104000,105000,98200,105000,339958
139480,2020-03-23,99100,102000,97400,97900,211971
139480,2020-03-24,99800,104000,98800,103500,207709
139480,2020-03-25,105500,107000,102000,104000,339118
139480,2020-03-26,105000,108000,102000,104500,290639
139480,2020-03-27,108000,108500,100500,104000,271822
139480,2020-03-30,102500,109000,100500,107500,206826
139480,2020-03-31,109000,110000,104500,106500,253830
023530,2020-01-02,135500,136500,134500,135500,47197
023530,2020-01-03,135500,137000,132500,132500,95250
023530,2020-01-06,130000,131500,128000,128500,72254
023530,2020-01-07,129000,134500,128500,132000,101387
023530,2020-01-08,130500,132000,128000,128000,75220
023530,2020-01-09,130000,131000,128500,130000,80284
023530,2020-01-10,130000,131500,127500,128500,93607
023530,2020-01-13,129000,136000,128000,135000,169220
023530,2020-01-14,136500,140000,136500,137500,155039
023530,2020-01-15,137000,138500,135500,137500,60640
023530,2020-01-16,137500,138000,135000,136000,54154
023530,2020-01-17,136000,138500,136000,136500,46480
023530,2020-01-20,140000,144000,134000,134500,257631
023530,2020-01-21,134000,135500,130500,132000,100003
023530,2020-01-22,133000,133000,130500,131500,99770
023530,2020-01-23,131000,131500,129000,130000,81616
023530,2020-01-28,125000,125500,119000,120500,243214
023530,2020-01-29,120500,122500,120000,120500,105707
023530,2020-01-30,121000,122500,117500,118000,114039
023530,2020-01-31,118000,119000,115000,115500,117262
023530,2020-02-03,111000,114500,110500,113000,138592
023530,2020-02-04,114000,118000,112500,115500,115104
023530,2020-02-05,116000,116500,114000,114000,61452
023530,2020-02-06,116000,117500,115000,117000,122878
023530,2020-02-07,117000,117500,115000,116000,56845
023530,2020-02-10,115000,117000,114000,116500,91086
023530,2020-02-11,116000,119500,116000,119500,96803
023530,2020-02-12,119500,120500,118000,120000,62523
023530,2020-02-13,121000,123000,119500,121500,161972
023530,2020-02-14,119000,121000,115000,116500,224033
023530,2020-02-17,116500,117500,114500,116000,80548
023530,2020-02-18,115500,116000,113500,113500,93253
023530,2020-02-19,114000,115500,111000,112000,121452
023530,2020-02-20,112500,113000,107000,107000,193999
023530,2020-02-21,106000,108500,104000,104500,123419
023530,2020-02-24,100000,101000,99000,99100,268506
023530,2020-02-25,98000,100500,97700,99500,223456
